"","Student.Code","Time","Q1","Q2","Q3","Q4","Q5","Q6","Q7","Q8","Q9","Q10","Q11","Q12","Q13","Q14","Q15","Q16","Q17","Q18","Q19","Q20","blanks"
"98","DMLIC5968H",40,"B","B","B","C","D","C","E","C","C","D","E","A","A","G","C","D","ACD","DG","B","C",0
"99","IXTZV1350G",28,"A","B","C","D","D","E","D","C","D","E","A","B","C","G","AB","B","A","ACF","AC","A",0
"100","EPNDP8321X",52,"B","B","B","D","C","C","E","C","C","D","D","B","C","C","BE","D","ABD","BCDG","BC","CD",0
"101","PBHDV1629Q",40,"A","C","C","E","E","C","E","C","B","B","B","A","A","F","AF","D","ABCD","ABCEF","ABCD","D",0
"102","UDAJL9718Z",25,"B","B","C","C","D","E","E","C","B","D","F","A","A","F","AF","B","AD","DG","BE","C",0
"103","LBREM3659R",21,"A","B","B","D","C","A","D","E","C","D","F","A","A","F","AD","D","B","AF","ABCE","D",0
"104","MSXNT6654H",28,"B","B","B","D","F","C","A","B","A","D","C","B","C","B","BE","B","ABCD","AC","E","BD",0
"105","PFVIF3166D",12,"A","A","B","D","A","C","A","C","D","D","E","D","A","D","CE","B","D","AEF","AE","AD",0
"106","FMCRV8792U",24,"B","B","B","C","D","C","E","C","C","D","E","A","A","F","C","D","A","DF","BC","C",0
"107","UGCOC8262A",25,"B","B","B","E","B","E","E","C","C","D","D","C","C",NA,"AE","B","AD","DF","B","C",1
"108","DGDRV1652F",41,"A","B","B","E","E","C","E","C","C","D","B","B","A","B","C","B","ACD","ABCEF","ABE","C",0
"109","KEEFZ1875S",37,"A","B","B","D","C","C","E","C","C","B","B","A","A","B","CE","D","ACD","ACE","B","B",0
"110","GEQTI4543J",39,"A","C","B","A","A","B","E","B","C","D","C","B","A","D","C","D","D","BCG","AC","C",0
"111","KQTQA8073Q",29,"A","B","B","E","E","C","E","C","D","D","E","B","C","B","C","B","AB","EF","B","C",0
"112","ZGJUA5865T",40,"A","B","B","D","C","E","E","C","C","D","D","A","A","C","AF","D","E","ABCEF","D","BD",0
"113","LBJQP1733U",22,"A","B","A","E","B","C","E","B","B","D","F","B","A","E","C","BC","AC","AF","B","CD",0
"114","IPRMX4475I",31,"A","A","B","B","B","E","E","C","A","D","A","B","A","B","AC","AB","AD","BDG","AC","C",0
"115","DPVGN2704E",28,"A","B","B","D","D","E","D","C","A","D","F","B","C","A","C","B","D","EF","BE","CD",0
"116","XRNML1977A",22,"B","B","B","C","E","B","E","C","C","D","F","B","C","F","CE","D","ABC",NA,"D","BF",1
"117","BEGGE7521G",19,"A","A","B","A","F","A","C","C","B","D","C","B","B","F","ABEF","E","BD","BEF","ABC","CE",0
"118","TIFEF2346J",48,"A","B","B","C","E","C","E","D","E","E","E","B","A","F","AF","AB","AD","ABCD","E","CDF",0
"119","DEOON3634F",46,"C","A","B","C","D","D","E","C","C","D","E","A","A","B","BE","AB","ACD","ADF","BC","CD",0
"120","BRYKF1434H",37,"D","B","B","E","C","E","C","C","C","D","B","B","D","E","BD","D","ABD","ADF","AB","B",0
"121","JKMQF0999S",34,"A","B","B","D","C","E","E",NA,"B","D","F","A","A","D","CEF","AD","ABCD","ABCF","ABCDE","B",1
"122","MVZBO2411W",33,"A","A","B","C","A","E","A","B","E","B",NA,"B","C","A","BE",NA,"ABD","CD","AB","E",2
"123","GJFKX4685B",27,"A","A","B","B","D","E","E","D","C","B","D","C","C","G","B","B","ABD",NA,"BCD","C",1
"124","KSKME3749F",44,"A","B","B","E","C","C","E","C","B","D","D","B","C","G","CE","B","A","CDG","AC","BD",0
"125","EOTSL7371E",36,"A","B","C","D","D","C","D","D","E","D","A","A","D","D","BF","ABD","BC","ABCEF","ABE","BD",0
"126","RZTQM1304V",50,"B","B","B","E","C","C","E","C","C","D","E","A","A","G","C","D","A","DG","BE","C",0
"127","YBDQA3091A",26,"B","B","B","D","C","E","E","C","E","D","E","A","A","E","C","D","ACD","EF","BE","BD",0
"128","IXOMZ6274G",40,"A","B","B","D","D","E","E","E","C","C","A","A","C","F","ABCEF","AB","D","EF","A","C",0
"129","VHPVW2127D",44,"A","B","B","C","D","D","E","C","C","D","E","A","A","B","C","B","ACD","BCEF","B","CD",0
"130","GRHJA7097Z",36,"B","B","B","B","D","C","E","C","A","D","E","A","A","B","C","D","ACD","EF","B","C",0
"131","YHESL8268T",37,"B","B","B","C","D","C","E","C","C","D","F","A","A","B","C","D","ACD","DG","B","C",0
"132","JSEEH7602O",22,"A","A","A","D","B","A","D","E","C","A","D","B",NA,"C","AEF","B","CD","ABCEF","CD","CE",1
"133","DFAHA1362D",8,"A","A","B","D","A","C","B","C","D","E","D","B","C","G","BEF","AD","AD","BD","CE","A",0
"134","OCYYQ2003N",32,"B","B","B","C","C","E","D","C","C","D","F","B","A","F","BE","D","ACD","ABCF","BCE","CD",0
"135","JZEUK2201T",32,"B","B","B","A","D","C","E","C","C","D","D","B","C","F","BE","D","AD","DG","BE","C",0
"136","VZSFG5874J",35,"C","B","B","E","C","E","D","C","E","B","C","B","C","B","C","AB","AD","BEF","BCE","CD",0
"137","DQWEQ5043H",30,"B","B","B","C","E","B","D","C","B","A","E","B","A","F","C","B","AB","DG","AB","CD",0
"138","SVRZM1280N",33,"B","B","B","C","D","C","E","C","E","D","E","A","C","C","AF","D","AD","BDG","B","C",0
"139","EWLWZ2097A",34,"B","B","B","C","D","C","E","E","E","D","F","B","A","F","BE","D","ACD","ABDF","B","CD",0
"140","TPPFD9079I",43,"B","A","B","E","A","E","E","C","A","C","C","B","A","A","AF","AB","D","ABCEF","A","BD",0
"141","ZSNMJ2618G",35,"A","A","B","E","C","E","D","C","C","C","E","B","A","D","AF","AB","AB","CE","BC","B",0
"142","BMQIY2965M",44,"B","B","B","C","A","E","C","C","E","D","F","B","A","F","ABF","B","ABD","ABCEF","BE","BE",0
"143","GHDVV2008F",28,"B","B","B","E","D","D","C","A","B","E","B","B","E","E","BD","AB","E","BCF","BC","CD",0
"144","MSPGS4110U",37,"B","B","B","D","C","C","E","C","B","B","A","A","A","D","AF","D","AD","BD","BDE","CD",0
"145","PZPKW5368U",31,"A","B","B","C","D","C","E","C","C","D","D","B","A","F","C","D","A","ACD","AB","B",0
"146","RFHQV9488E",20,"A","B","B","B","F","E","E","E","B","B","C","B","A","F","C","AB","AC","CEF","ADE","BE",0
"147","IQKHM6445P",24,"B","B","B","C","D","D","D","C","C","D","B","A","B","B","ABC","AB","B","ABCEF","ABC","CD",0
"148","QFTQN0424K",48,"B","B","B","B","B","C","E","C","C","D","E","B","A","C","ABCEF","D","A","ABEF","DE","C",0
"149","NXYHC0884C",22,"B","A","B","C","F","E","E","C","C","D","F","A","A","G","C","B","A","ABCE","ABC","C",0
"150","KFSDC5006P",23,"A","B","B","C","D","C","D","C","B","D","B","A","A","F","C","B","ABD","EF","B","B",0
"151","PGEQO6780J",39,"B","B","B","C","C","B","E","B","B","D","E","A","A","F","C","D",NA,"DG","AB",NA,2
"152","VVCPP6680K",36,"C","B","C","C","C","A","E","D","C","D","F","A","A","B","CE","D","ABD","ABCF","ABE","CD",0
"153","FBUST3527D",27,"A","B","C","D","B","A","E","C","D","D","D","B","E","F","AF","E","E","CDG","E","C",0
"154","PUFDO6223Z",25,"B","A","B","E","D","E","D","E","D","D","B","D","A","E","AF","AB","ACD","EF",NA,NA,2
"155","QPQYI4662Y",33,"A","B","B","A","D","B","E","A","B","D","D","A","D","G","C","B","ABD","AG","BD","C",0
"156","RKANY8988Q",50,"B","B","B","C","D","C","B","C","C","D","F","A","A","C","ABCEF","D","ACD","DG","A","C",0
"157","ZBKDD5209T",45,"B","B","B","C","D","C","E","C","C","D","E","A","C","F","C","D","ACD","ABCEF","B","C",0
"158","AJRKS4529X",43,"B","B","B","C","D","C","E","C","C","D","E","A","A","E","C","D","AD","DG","B","C",0
"159","HZJZI5103E",40,"B","B","B","E","D","D","E","A","B","D","D","B","A","D","AF","AB","ACD",NA,"D","B",1
"160","IUGFC4536A",29,"A","B","B","D","E","E","B","C","B","E","A","A","A","E","ABC","D","D","BDG","ABCDE","AB",0
"161","FAKXF0591B",40,"B","A","B","B","F","D","E","C","C","D","D","A","C","G","BE","B","ACD",NA,"E","AD",1
"162","CPYRL3471E",38,"B","B","B","C","B","C","E","C","C","D","E","A","A","D","ABCEF","B","ACD","ACE","B","CD",0
"163","CRXZL1077T",47,"A","B","B","D","C","C","E","C","C","D","E","A","A","F","CF","B","AC","DF","B","C",0
"164","RBESI0421F",42,"B","B","B","E","D","E","E","C","C","D","A","A","A","E","AF","B","B","DG","ABE","CD",0
"165","SATFX0448E",36,"A","B","B","C","C","E","E","C","E","D","D","A","A","B","C","D","BD","CF","AB","A",0
"166","MSRWH1268J",39,"A","B","B","D","D","C","E","C","C","D","E","A","A","G","C","D",NA,"DF","BC","B",1
"167","TSXAY2029E",47,"A","A","C","D","C","A","D","A","A","C","A","B","C","G","BE","AD","ABCD","ABEFG","CE","BE",0
"168","BRBKP7936W",43,"B","B","B","C","D","C","E","C","C","D","F","A","A","F","AF","D","ABCD","AG","AB","C",0
"169","NASWF1664B",26,"A","B","B","B","B","E","E","A","E","D","E","B","A","E","CF","D","ABD","ACEG","ADE","C",0
"170","GOWHX1370Y",25,"A","B","B","A","C","C","E","C","A","D","A","B","D","C","AF","D","ABCD","CDF","AB","BE",0
"171","VYEUZ8671F",19,"A","B","B","E","E","B","D","D","A","D","A","B","E","E","BCEF","ABC","ACD","CEF","AB","E",0
"172","RQRNJ3925B",43,"B","B","B","C","E","C","E","C","C","D","E","A","A","G","AF","D","ACD","DF","CE","C",0
"173","WLQRR6776T",40,"A","B","B","C","A","C","C","C","B","E","D","C","C","F","CF","AB","ABD","AD","ABD","CE",0
"174","SSGDQ4321T",45,"B","B","B","C","D","E","E","C","C","D","E","A","A","D","C","D","AB","ADG","AE","C",0
"175","EYLUF4539N",37,"A","B","B","C","A","C","E","C","B","D","F","B","C","E","AF","B","ABCD","AEF",NA,"CD",1
"176","WEKSM2726J",30,"A","A","B","D","D","C","E","C","A","D","F","B","E","C","E","AB","ABCD","A","ABD","BD",0
"177","UXJSC2517J",36,"B","A","B","D","B","C","E","C","B","D","F","B","A","G","CF","AD","ACD","ADG","AB","B",0
"178","XSAIW5474A",46,"B","B","B","C","D","C","B","C","C","D","F","B","A","B","C","D","B","ADF","B","CD",0
"179","ULKUM5132L",10,"A","B","C","D","D","E","D","C","E","D","E","A","A","D","C","B","AD","ABCD","BD","BD",0
"180","ALYZW3855K",37,"B","B","B","C","D","C","E","C","C","E","E","B","B","F","BE","AB","AB","ABDG","BC","C",0
"181","XTCFX6258U",35,"A","B","B","D","E","E","D","B","C","D","F","A","A","B","AF","B","CD","CD","CE","B",0
"182","MTDEG5138G",38,"B","B","B","C","D","C","E","C","C","D","E","A","A","B","AF","D","ACD","BDG","B","C",0
"183","VHQCQ6599H",34,"A","B","B","E","D","A","E","C","E","D","A","B","A","G","AF","D","AC","ABC","E","BD",0
"184","PISVI9061E",33,"B","B","B","C","C","D","E","C","B","C","B","A","A","G","C","AB","ABCD","ABCEG","BD","AC",0
"185","IPEKQ3750Y",38,"B","B","B","C","D","C","E","C","C","D","E","A","A","G","C","D","A","DG","AC","C",0
"186","GRGDJ1770L",34,"B","B","B","E","C","B","E","C","B","D","E","B","C","C","C","D","ABD","E","B","C",0
"187","ZGSDS4236S",28,"A","B","C","D","C","B","D","D","E","C","B","E","D","E","CE","BD",NA,"ABDF",NA,"BE",2
"188","BERZS6415S",51,"B","B","B","C","D","E","E","E","C","D","E","A","A","B","C","D","ACD","ABCF","B","CD",0
"189","CRRAV1958Q",33,"B","B","B","C","D","D","E","C","C","D","E","B","A","B","C","B","ACD","AD","B","C",0
"190","TFRPQ0600G",28,"B","B","C","C","C","C","C","A","B","D","A","B","A","G","C","D","A","BDG","BC","CD",0
"191","ODKGW0768F",36,"B","B","B","D","D","C","E","C","C","D","E","A","A","F","AF","B","E","ADF","BD","B",0
"192","NCLVX5090F",48,"B","B","B","C","D","C","E","C","C","D","E","A","A","B","C","D","ACD","DG","B","C",0
"193","AFHVV6510F",28,"B","B","B","E","C","C","E","C","E","D","D","A","A","F","C","AB","AD","BCEF","ABCDE","C",0
"194","FJFWQ4825O",25,"A","B","B","C","C","E","E","C","A","D","E","A","C","D","CE","AB","ABCD","ABDF","AE","D",0
"195","ETQBO1289A",21,"C","B","B","E","B",NA,"C","C","B","A","B","B","C","D","BCE","ABD","ABD","CEF","DE","B",1
"196","YBDPA4299J",31,"B","B","B","C","D","C","E","C","C","D","E","B","A","B","AF","D","AC","ABDG","ABC","C",0
"197","KJZYK9771F",32,"A","B","B","D","F","C","E","C","E","A","A","B","A","F","A","B","ACD","CE","CD","C",0
"198","TLGEX6418V",45,"C","B","B","C","C","C","B","C","C","A","B","A","A","F","BE","B","AC","ADG","AC","C",0
"199","BKXHJ6863V",29,"B","B","B","E","C","C","E","C","E","E","E","A","B","E","C","B","AD","EF","B","C",0
"200","VGXYZ0621Y",33,"B","B","B","C","D","C","E","C","C","D","E","A","A","B","C","D","ACD","DG","B","C",0
"201","OMJFL7738B",39,"B","B","B","D","D","C","E","C","C","D","E","A","A","G","C","D","ACD","ADG","AE","C",0
"202","LONIN5633I",38,"B","B","B","C","C","C","E","C","B","D","A","A","A","B","C","B","ABCD","A","B","C",0
"203","SYCMY5056D",25,"B","B","B","D","E","D","E","C","C","D","E","B","A","F","BE","B","E","EF","ABE","C",0
"204","BSUKN2015I",43,"A","B","B","C","E","C","E","D","E","D","A","E","D","G","CF","D","AC","ABDG","ABD","C",0
"205","YBIPG0613E",36,"A","A","B","E","E","D","E","E","C","B","F","B","C","F","CE","D","ABC","ADG","ACE","D",0
"206","EESEX5135E",27,"B","B","B","E","D","C","E","C","E","D","E","A","A","F","C","D","ACD","ABF",NA,"C",1
"207","VGKQS0704K",32,"B","B","B","D","C","C","E","E","B","D","E","A","A","F","BCE","B","D","ABD","BC","A",0
"208","JOXRE6624L",35,"B","A","B","C","E","D","E","C","B","D","F","B","A","F","AF","AB","AD","ACDF",NA,"CD",1
"209","NIKAS5594R",42,"B","B","B","D","D","C","E","E","C","D","E","A","A","B","AF","B","ACD","ADG","A","C",0
"210","TEUZW8325H",38,"B","B","B","C","D","D","E","C","B","D","F","A","A","C","AF","D","B","D","ABC","AB",0
"211","RPJTH0089R",25,"A","B","B","D","C","B","D","E","E","D","E","D","A","B","AF","D","A","BC","ABE","D",0
"212","FPDSJ3067J",33,"B","B","B","C","B","C","E","C","B","D","E","B","E","D","C","D","AD","DF","AD","BD",0
"213","ZDMCE4242R",48,"A","B","B","D","B","A","B","C","B","D","F","B","A","B","C","B","ABD","BCEF","BE","CD",0
"214","ERTEA9304Y",47,"B","B","B","C","B","E","E","E","B","B","E","B","A","E","C","D","AD","ADF","A","C",0
"215","ACBGY7895Q",36,"A","A","B","D","A","C","E","E","D","E","D","A","A","B","CE","D","A","BDF","B","D",0
"216","KEWVF8104G",39,"B","B","B","C","D","E","E","C","A","D","E","A","A","F","AF","D","A","DG",NA,"BD",1
"217","HEBOQ7707H",31,"A","B","B","E","A","E","B","C","B","D","B","B","C","B","CD","D","E","AB","AC","CD",0
"218","ALHYD9129S",33,"A","B","B","E","C","E","C","B","B","D","B","B","C","D","BD","AB","ABCD","ABDF","BD","BD",0
"219","UKOSF1985F",31,"A","A","B","D","C","C","E","C","C","D","A","A","A","G","BE","B","ACD","BDF","B","C",0
